epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1712,1.9044,1.68772,1.33636,0.52543,0.34303,0.31866,0.17956,1.87444,1.54205,1.26767,0.000275942,0.000275942,0.000275942
2,75.1758,1.75848,1.37996,1.21426,0.50661,0.37561,0.34599,0.1828,1.88244,1.49437,1.25822,0.000542647,0.000542647,0.000542647
3,109.557,1.72556,1.31957,1.19297,0.53918,0.36297,0.34891,0.1878,1.84631,1.43997,1.2516,0.000798357,0.000798357,0.000798357
4,143.381,1.6781,1.26188,1.17628,0.51343,0.39115,0.37107,0.20658,1.77844,1.35433,1.22187,0.00078352,0.00078352,0.00078352
5,177.99,1.63396,1.20987,1.14475,0.52176,0.4296,0.404,0.22505,1.73878,1.32811,1.18482,0.000767026,0.000767026,0.000767026
6,211.084,1.60759,1.18465,1.13713,0.57983,0.41848,0.4184,0.24184,1.70382,1.26815,1.17485,0.000750533,0.000750533,0.000750533
7,244.509,1.55365,1.11906,1.11309,0.63322,0.43717,0.43988,0.25919,1.66438,1.23079,1.16223,0.00073404,0.00073404,0.00073404
8,278.071,1.52349,1.10222,1.10438,0.61069,0.44821,0.44762,0.25652,1.66331,1.21144,1.152,0.000717546,0.000717546,0.000717546
9,312.557,1.50324,1.07855,1.09305,0.58993,0.46076,0.44665,0.26344,1.63355,1.20456,1.15119,0.000701053,0.000701053,0.000701053
10,346.959,1.47403,1.04194,1.07727,0.63614,0.46522,0.47317,0.27916,1.60539,1.17479,1.13725,0.000684559,0.000684559,0.000684559
11,380.974,1.46752,1.0343,1.07851,0.6191,0.47483,0.4741,0.27459,1.59519,1.13739,1.13029,0.000668066,0.000668066,0.000668066
12,414.786,1.44575,1.00523,1.06268,0.60647,0.46358,0.46996,0.28053,1.58091,1.1621,1.13031,0.000651573,0.000651573,0.000651573
13,449.006,1.43003,1.00282,1.06286,0.63146,0.47388,0.46381,0.27282,1.56888,1.19216,1.12364,0.000635079,0.000635079,0.000635079
14,482.292,1.41562,0.99092,1.05906,0.67131,0.4692,0.48688,0.28908,1.56605,1.09509,1.11096,0.000618586,0.000618586,0.000618586
15,516.179,1.37633,0.95626,1.0448,0.67896,0.47222,0.4968,0.30392,1.5449,1.10549,1.11332,0.000602092,0.000602092,0.000602092
16,549.884,1.38536,0.95117,1.03912,0.67371,0.48034,0.50072,0.31013,1.52399,1.09554,1.1063,0.000585599,0.000585599,0.000585599
17,582.655,1.35676,0.92067,1.03257,0.71124,0.47824,0.50405,0.30942,1.51745,1.08281,1.09331,0.000569106,0.000569106,0.000569106
18,615.674,1.34222,0.9136,1.02719,0.70695,0.48162,0.51398,0.31635,1.52818,1.07292,1.09896,0.000552612,0.000552612,0.000552612
19,649.057,1.32378,0.90369,1.02073,0.70803,0.49073,0.50894,0.30858,1.49604,1.0676,1.08951,0.000536119,0.000536119,0.000536119
20,683.47,1.3298,0.89617,1.01601,0.67787,0.49665,0.51189,0.31873,1.48474,1.04279,1.08554,0.000519625,0.000519625,0.000519625
21,716.462,1.29858,0.87643,1.00438,0.69861,0.51007,0.52828,0.33038,1.45736,1.02087,1.07921,0.000503132,0.000503132,0.000503132
22,749.901,1.28747,0.85948,1.00327,0.70078,0.49869,0.52624,0.3253,1.4525,1.01893,1.08335,0.000486639,0.000486639,0.000486639
23,782.662,1.27959,0.85182,0.99658,0.68788,0.51512,0.53619,0.33345,1.44256,1.01013,1.07325,0.000470145,0.000470145,0.000470145
24,815.168,1.26283,0.83865,0.99059,0.69096,0.50613,0.53412,0.33577,1.44257,1.03139,1.08221,0.000453652,0.000453652,0.000453652
25,848.162,1.25452,0.8343,0.99308,0.70828,0.51809,0.54442,0.34285,1.43786,1.01099,1.07437,0.000437158,0.000437158,0.000437158
26,881.087,1.23392,0.81844,0.98113,0.70351,0.51782,0.54327,0.34164,1.43982,1.00616,1.06616,0.000420665,0.000420665,0.000420665
27,914.163,1.21824,0.8,0.9756,0.74122,0.5252,0.55057,0.3443,1.42019,0.99936,1.0733,0.000404172,0.000404172,0.000404172
28,947.275,1.22386,0.80276,0.98001,0.71111,0.51228,0.54215,0.33848,1.42908,0.99554,1.08043,0.000387678,0.000387678,0.000387678
29,979.777,1.19468,0.78609,0.9682,0.72921,0.53691,0.55278,0.34694,1.42088,0.97888,1.06232,0.000371185,0.000371185,0.000371185
30,1012.17,1.21189,0.79572,0.96966,0.75038,0.52192,0.54632,0.34878,1.39932,0.98148,1.06449,0.000354691,0.000354691,0.000354691
31,1044.86,1.17888,0.77567,0.96596,0.71044,0.52851,0.5554,0.35668,1.39965,0.97265,1.06393,0.000338198,0.000338198,0.000338198
32,1077.65,1.17741,0.77197,0.96101,0.72525,0.54497,0.56061,0.35854,1.38491,0.96091,1.05752,0.000321705,0.000321705,0.000321705
33,1110.57,1.16683,0.76593,0.95986,0.72672,0.52914,0.55691,0.35843,1.39389,0.97725,1.06368,0.000305211,0.000305211,0.000305211
34,1143.47,1.14205,0.7351,0.95294,0.72247,0.53858,0.56049,0.3607,1.37452,0.95377,1.06274,0.000288718,0.000288718,0.000288718
35,1176.06,1.14223,0.74938,0.95464,0.73201,0.52839,0.55611,0.3564,1.37863,0.97283,1.0603,0.000272224,0.000272224,0.000272224
36,1209.49,1.12989,0.72988,0.94528,0.74762,0.53733,0.56135,0.36489,1.36332,0.9572,1.0521,0.000255731,0.000255731,0.000255731
37,1242.8,1.12993,0.72954,0.94262,0.74254,0.54521,0.56893,0.36711,1.36019,0.93921,1.05299,0.000239238,0.000239238,0.000239238
38,1276.09,1.11029,0.71375,0.93829,0.73728,0.54331,0.56588,0.37134,1.3427,0.94321,1.04922,0.000222744,0.000222744,0.000222744
39,1309.38,1.10516,0.71802,0.9414,0.75129,0.54186,0.56965,0.36968,1.34587,0.93727,1.04448,0.000206251,0.000206251,0.000206251
40,1342.85,1.09358,0.69286,0.93343,0.73498,0.54914,0.56386,0.37061,1.34086,0.94303,1.04824,0.000189757,0.000189757,0.000189757
41,1379.75,1.12006,0.69491,0.93051,0.72609,0.5426,0.56699,0.36624,1.3567,0.96232,1.05664,0.000173264,0.000173264,0.000173264
42,1411.37,1.08372,0.66486,0.91738,0.75975,0.54298,0.57653,0.37562,1.34459,0.94131,1.04735,0.000156771,0.000156771,0.000156771
43,1442.86,1.07437,0.65556,0.91332,0.75077,0.54369,0.56623,0.36924,1.34128,0.95925,1.04845,0.000140277,0.000140277,0.000140277
44,1474.57,1.05601,0.64552,0.90862,0.76688,0.53684,0.56383,0.37118,1.33024,0.96143,1.05197,0.000123784,0.000123784,0.000123784
45,1506.37,1.0455,0.63648,0.90737,0.76756,0.54115,0.57366,0.37768,1.31798,0.92935,1.04433,0.00010729,0.00010729,0.00010729
46,1537.88,1.03883,0.63074,0.90624,0.76242,0.54416,0.57743,0.37785,1.3243,0.93644,1.044,9.0797e-05,9.0797e-05,9.0797e-05
47,1569.18,1.02258,0.62173,0.89933,0.76232,0.54458,0.57967,0.3829,1.31526,0.92976,1.04454,7.43036e-05,7.43036e-05,7.43036e-05
48,1600.57,1.01341,0.61652,0.89781,0.74249,0.55669,0.58018,0.38435,1.31211,0.92776,1.0428,5.78102e-05,5.78102e-05,5.78102e-05
49,1631.67,1.00672,0.6087,0.89361,0.74995,0.54954,0.57808,0.38445,1.30559,0.92377,1.03994,4.13168e-05,4.13168e-05,4.13168e-05
50,1662.96,0.98999,0.60191,0.89274,0.73861,0.55531,0.57691,0.3817,1.30636,0.92493,1.04055,2.48234e-05,2.48234e-05,2.48234e-05
