epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.203,2.14844,2.87556,1.43243,0.52874,0.16506,0.16178,0.08726,2.09424,2.13618,1.40487,0.000275942,0.000275942,0.000275942
2,56.8349,1.92662,1.80416,1.30791,0.43703,0.23113,0.23828,0.128,1.99138,1.79332,1.32434,0.000542647,0.000542647,0.000542647
3,83.3721,1.8773,1.63223,1.26477,0.4765,0.29604,0.29554,0.16309,1.91143,1.63385,1.26723,0.000798357,0.000798357,0.000798357
4,109.773,1.82345,1.54161,1.24425,0.49338,0.30683,0.31783,0.17809,1.86666,1.5701,1.23872,0.00078352,0.00078352,0.00078352
5,136.205,1.75595,1.43668,1.20526,0.49033,0.31173,0.31434,0.17238,1.84607,1.54437,1.26202,0.000767026,0.000767026,0.000767026
6,162.613,1.73038,1.38359,1.19156,0.54445,0.33089,0.35555,0.1977,1.76142,1.40807,1.21176,0.000750533,0.000750533,0.000750533
7,188.967,1.68115,1.32882,1.17442,0.48914,0.36522,0.35518,0.20008,1.75684,1.44662,1.18966,0.00073404,0.00073404,0.00073404
8,215.36,1.66628,1.30495,1.16625,0.54553,0.34337,0.35896,0.20682,1.73897,1.33746,1.1874,0.000717546,0.000717546,0.000717546
9,241.799,1.63963,1.25809,1.15199,0.61128,0.37903,0.39204,0.22015,1.6866,1.30017,1.1674,0.000701053,0.000701053,0.000701053
10,268.19,1.60321,1.21527,1.13685,0.60774,0.39046,0.39814,0.2267,1.682,1.24916,1.1533,0.000684559,0.000684559,0.000684559
11,294.668,1.60787,1.20746,1.1376,0.64683,0.3768,0.41375,0.23488,1.66233,1.23986,1.14374,0.000668066,0.000668066,0.000668066
12,321.045,1.59017,1.19152,1.12486,0.5912,0.39467,0.41008,0.23539,1.62242,1.2338,1.13758,0.000651573,0.000651573,0.000651573
13,347.454,1.56032,1.15859,1.11669,0.58715,0.38723,0.40572,0.23447,1.65171,1.21305,1.1388,0.000635079,0.000635079,0.000635079
